arm,algo,env_graph,task,suite,obs,n_agents,seed,run_dir,final
gnn_complete,gnn_qmix,complete,pair,core,ego,8,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed0,68.05625
gnn_complete,gnn_qmix,complete,pair,core,ego,8,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed1,66.87083333333334
gnn_complete,gnn_qmix,complete,pair,core,ego,8,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed2,67.86875
gnn_complete,gnn_qmix,complete,pair,core,ego,8,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed3,66.65416666666667
gnn_complete,gnn_qmix,complete,pair,core,ego,8,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed4,66.69583333333334
gnn_complete,gnn_qmix,complete,pair,core,ego,8,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed5,67.53958333333334
gnn_complete,gnn_qmix,complete,pair,core,ego,8,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed6,65.56041666666667
gnn_complete,gnn_qmix,complete,pair,core,ego,8,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed7,68.5
gnn_complete,gnn_qmix,complete,pair,core,ego,8,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed8,67.21041666666666
gnn_complete,gnn_qmix,complete,pair,core,ego,8,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed9,66.99583333333334
gnn_complete,gnn_qmix,complete,pair,core,ego,8,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed10,68.25208333333333
gnn_complete,gnn_qmix,complete,pair,core,ego,8,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_complete__pair_N8_ego__seed11,67.50625
gnn_true,gnn_qmix,matching,pair,core,ego,8,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed0,74.11666666666666
gnn_true,gnn_qmix,matching,pair,core,ego,8,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed1,66.85
gnn_true,gnn_qmix,matching,pair,core,ego,8,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed2,86.76041666666667
gnn_true,gnn_qmix,matching,pair,core,ego,8,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed3,86.45416666666667
gnn_true,gnn_qmix,matching,pair,core,ego,8,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed4,80.31875
gnn_true,gnn_qmix,matching,pair,core,ego,8,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed5,87.39166666666667
gnn_true,gnn_qmix,matching,pair,core,ego,8,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed6,88.44583333333334
gnn_true,gnn_qmix,matching,pair,core,ego,8,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed7,84.67083333333333
gnn_true,gnn_qmix,matching,pair,core,ego,8,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed8,94.00833333333334
gnn_true,gnn_qmix,matching,pair,core,ego,8,9,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed9,80.44375
gnn_true,gnn_qmix,matching,pair,core,ego,8,10,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed10,90.47916666666667
gnn_true,gnn_qmix,matching,pair,core,ego,8,11,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_true__pair_N8_ego__seed11,75.65208333333334
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,0,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed0,66.39583333333333
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,1,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed1,66.26875
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,2,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed2,66.84375
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,3,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed3,66.97708333333334
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,4,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed4,67.05
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,5,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed5,65.825
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,6,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed6,66.16458333333334
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,7,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed7,68.375
gnn_wrong,gnn_qmix,matching_wrong,pair,core,ego,8,8,D:\Codes\Github\when-graphs-help-marl\results\phaseC\pair_N8_ego\gnn_wrong__pair_N8_ego__seed8,65.43541666666667
